TCOA_Company,TCOA_Cabang,TCOA_Jenis_transaksi,TCOA_Traksaksi_Debit,TCOA_Transaksi_Credit,TCOA_Mutasi_Debit,TCOA_Mutasi_Credit,TCOA_CreateDate,TCOA_CreateUser,TCOA_CreateTIme,TCOA_ModifyUser,TCOA_ModifyDate,TCOA_ModifyTime
01,05,308,400100007,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,309,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,309,110100008,300100008,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,309,300300008,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,309,400100008,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,310,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,310,110100009,300100009,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,310,300300009,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,310,400100009,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,311,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,311,110100010,300100010,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,311,300300010,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,311,400100010,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,312,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,312,110100011,300100011,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,312,300300011,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,312,400100011,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,313,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,313,110100012,300100012,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,313,300300012,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,313,400100012,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,314,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,314,110100013,300100013,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,314,300300013,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,314,400100013,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,315,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,315,110100014,300100014,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,315,300300014,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,315,400100014,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,316,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,316,110100015,300100015,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,316,300300015,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,316,400100015,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,317,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,317,110100016,300100016,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,317,300300016,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,317,400100016,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,318,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,318,110100017,300100017,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,318,300300017,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,318,400100017,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,319,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,319,110100018,300100018,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,319,300300018,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,319,400100018,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,320,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,320,110100019,300100019,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,320,300300019,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,320,400100019,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,321,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,321,110100020,300100020,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,321,300300020,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,321,400100020,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,322,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,322,110100021,300100021,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,322,300300021,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
